ID,productName,description,unitPrice,currency_code,stock,minStock,unit,supplier_ID,isActive,createdAt,createdBy,modifiedAt,modifiedBy
19740451-96d1-4db1-ae4c-2d612e956d19,productName-19740451,description-19740451,31929895.42,436,19,45,t-19740451,26368286-78c0-400a-a8eb-a71af21a184c,false,2023-08-06T00:00:00.000Z,createdBy.br3tv@example.org,2013-05-23T00:00:00.000Z,modifiedBy.br3tv@example.net
22415318-3bd7-4a8a-8be4-c3c05bf1a8eb,productName-22415318,description-22415318,97842918.21,927,19,60,t-22415318,30033248-95a8-4bb6-beb5-4e0dec7e728a,true,2008-08-27T00:00:00.000Z,createdBy.dcfrq@example.com,2023-07-04T00:00:00.000Z,modifiedBy.dcfrq@example.com
22415319-1890-4e1b-85c9-b03a5058ee69,productName-22415319,description-22415319,92499326.85,927,28,35,t-22415319,30033248-95a8-4bb6-beb5-4e0dec7e728a,false,2016-12-27T00:00:00.000Z,createdBy.dcfrr@example.net,2023-07-01T00:00:00.000Z,modifiedBy.dcfrr@example.net
22415320-fee3-4837-81be-b9ac1fbf5f72,productName-22415320,description-22415320,94552513.46,927,48,82,t-22415320,30033248-95a8-4bb6-beb5-4e0dec7e728a,true,2021-10-15T00:00:00.000Z,createdBy.dcfrs@example.org,2004-10-18T00:00:00.000Z,modifiedBy.dcfrs@example.com
22415321-c7aa-4978-922c-3a1248ba7efe,productName-22415321,description-22415321,12348548.05,927,12,96,t-22415321,30033248-95a8-4bb6-beb5-4e0dec7e728a,false,2015-01-27T00:00:00.000Z,createdBy.dcfrt@example.com,2004-03-11T00:00:00.000Z,modifiedBy.dcfrt@example.org
22415322-182f-4366-9e1a-7868398b990c,productName-22415322,description-22415322,61525709.58,927,86,24,t-22415322,30033248-95a8-4bb6-beb5-4e0dec7e728a,true,2006-05-26T00:00:00.000Z,createdBy.dcfru@example.com,2005-01-02T00:00:00.000Z,modifiedBy.dcfru@example.net
22415323-a9dc-4398-820d-0cf5c5b97924,productName-22415323,description-22415323,21201717.66,927,41,31,t-22415323,30033248-95a8-4bb6-beb5-4e0dec7e728a,false,2010-03-18T00:00:00.000Z,createdBy.dcfrv@example.net,2018-05-11T00:00:00.000Z,modifiedBy.dcfrv@example.net
22415324-df0b-43b9-962c-4300aa2f929d,productName-22415324,description-22415324,27864455.85,927,21,23,t-22415324,30033248-95a8-4bb6-beb5-4e0dec7e728a,true,2012-07-14T00:00:00.000Z,createdBy.dcfrw@example.org,2011-12-13T00:00:00.000Z,modifiedBy.dcfrw@example.net
22415325-7d51-4094-b33c-91af57b25934,productName-22415325,description-22415325,33700060.78,927,43,60,t-22415325,30033248-95a8-4bb6-beb5-4e0dec7e728a,false,2003-12-03T00:00:00.000Z,createdBy.dcfrx@example.org,2014-06-13T00:00:00.000Z,modifiedBy.dcfrx@example.com
22415326-1a5b-4f18-b9ad-5207158ec492,productName-22415326,description-22415326,8007994.29,927,11,94,t-22415326,30033248-95a8-4bb6-beb5-4e0dec7e728a,true,2011-11-02T00:00:00.000Z,createdBy.dcfry@example.com,2006-02-26T00:00:00.000Z,modifiedBy.dcfry@example.com
