ID,po_ID,product_ID,quantity,unitPrice,totalPrice,currency_code,receivedQty,notes
19652324-336e-4662-8522-d7e6cf615e90,21324796-d09e-421e-a968-400a919930f3,19740451-96d1-4db1-ae4c-2d612e956d19,36,34669106.12,6207393213.38,436,7,notes-19652324
19652325-c849-4306-8346-d1f110a9e0da,21324796-d09e-421e-a968-400a919930f3,19740451-96d1-4db1-ae4c-2d612e956d19,11,99086842.64,7836195364.71,436,68,notes-19652325
25179728-6ea8-4d1f-b922-fa4a4754e61b,21324797-30c1-431a-9eed-ce1c41760a5f,19740451-96d1-4db1-ae4c-2d612e956d19,85,11670257.08,3079426548.41,436,59,notes-25179728
25179729-1b28-425f-9a6d-ad53036a283a,21324797-30c1-431a-9eed-ce1c41760a5f,19740451-96d1-4db1-ae4c-2d612e956d19,57,71205405.21,9396745084.66,436,80,notes-25179729
22058386-b5be-450f-8c00-5973c59921d8,21324798-4dcb-476e-9ec8-179455570584,19740451-96d1-4db1-ae4c-2d612e956d19,7,89695946.63,5551057585.81,436,66,notes-22058386
22058387-1976-4819-80cf-7444fa16f5b3,21324798-4dcb-476e-9ec8-179455570584,19740451-96d1-4db1-ae4c-2d612e956d19,39,92127748.82,3674512924.96,436,22,notes-22058387
29970608-3399-494e-86ca-2916f6b36c3d,21324799-1b37-4653-a44c-23fdfd82f970,19740451-96d1-4db1-ae4c-2d612e956d19,40,91305418.97,9602786064.22,436,54,notes-29970608
29970609-62cf-452b-a249-4f03ddecb827,21324799-1b37-4653-a44c-23fdfd82f970,19740451-96d1-4db1-ae4c-2d612e956d19,55,94531160.13,47594107.77,436,59,notes-29970609
18984610-9067-4e75-8752-5208e42ddc18,21324800-698e-4627-837e-06c9e51751d3,19740451-96d1-4db1-ae4c-2d612e956d19,85,52769728.01,276299353.89,436,18,notes-18984610
18984611-d3c7-4b4a-88de-5451e5202067,21324800-698e-4627-837e-06c9e51751d3,19740451-96d1-4db1-ae4c-2d612e956d19,59,79719291.26,3809912847.64,436,94,notes-18984611
19026159-c012-4ca9-a678-0eeab3a835e0,21324801-56fe-4506-8187-21238f8540a7,19740451-96d1-4db1-ae4c-2d612e956d19,85,23827379.96,5819886420.42,436,29,notes-19026159
19026160-aee3-427f-8f5e-d65b4eb84263,21324801-56fe-4506-8187-21238f8540a7,19740451-96d1-4db1-ae4c-2d612e956d19,7,51532368.13,7950322656.45,436,60,notes-19026160
91174207-5efb-428c-814e-449747b21dd9,21324802-1cee-4832-b492-46f5de3f5813,19740451-96d1-4db1-ae4c-2d612e956d19,5,29523682.75,3120492685.15,436,8,notes-9117420
9117421a-3d7f-4e68-b071-89cc8b7bbca9,21324802-1cee-4832-b492-46f5de3f5813,19740451-96d1-4db1-ae4c-2d612e956d19,97,8434255.82,840236329.6,436,95,notes-9117421
4439208e-2c7a-4ffc-a53f-e3dd1876e0e9,21324803-d1c1-47a4-b4ea-fc3ee3b315fb,19740451-96d1-4db1-ae4c-2d612e956d19,78,49053552.09,5557318055.7,436,16,notes-4439208
4439209e-86ab-43d4-8c96-32ba32554947,21324803-d1c1-47a4-b4ea-fc3ee3b315fb,19740451-96d1-4db1-ae4c-2d612e956d19,79,70031035.09,8465440685.42,436,72,notes-4439209
23397172-2e6a-4125-a573-e56dc38dc5cf,21324804-b384-4cd4-838e-284c0729ac6e,19740451-96d1-4db1-ae4c-2d612e956d19,77,99737455.03,7560631796.31,436,71,notes-23397172
23397173-5ee9-427f-817d-ac8fd032d4b7,21324804-b384-4cd4-838e-284c0729ac6e,19740451-96d1-4db1-ae4c-2d612e956d19,48,20018783.4,7180664757.87,436,60,notes-23397173
17838209-c8ae-4c6f-9290-2d02818d13cb,21324805-858c-4345-9edd-a39bd9437d26,19740451-96d1-4db1-ae4c-2d612e956d19,0,96684877.52,7660478621.94,436,9,notes-17838209
17838210-7e93-42e6-a707-2ad9daf66286,21324805-858c-4345-9edd-a39bd9437d26,19740451-96d1-4db1-ae4c-2d612e956d19,83,51423782.14,2317575274.21,436,95,notes-17838210
