ID,role,allocation,startDate,endDate,employee_ID,project_ID,createdAt,createdBy,modifiedAt,modifiedBy
26826653-8716-4a80-b458-897b9a77b78a,role-26826653,75,2014-10-23,2019-12-11,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2014-08-25T00:00:00.000Z,createdBy.fyzkt@example.net,2013-07-18T00:00:00.000Z,modifiedBy.fyzkt@example.net
26826654-279e-4004-b786-c015c1936b05,role-26826654,28,2011-07-29,2001-04-19,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2009-01-10T00:00:00.000Z,createdBy.fyzku@example.com,2017-03-12T00:00:00.000Z,modifiedBy.fyzku@example.com
26826655-0001-4d24-918e-514edc262f21,role-26826655,37,2004-09-29,2005-08-21,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2021-03-01T00:00:00.000Z,createdBy.fyzkv@example.net,2005-08-04T00:00:00.000Z,modifiedBy.fyzkv@example.com
26826656-b95e-4b79-9d57-471b9d6eb2f9,role-26826656,52,2006-07-10,2012-05-03,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2017-03-06T00:00:00.000Z,createdBy.fyzkw@example.org,2018-06-08T00:00:00.000Z,modifiedBy.fyzkw@example.net
26826657-722b-4115-8506-24912be8ca58,role-26826657,57,2019-10-27,2021-02-24,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2000-07-06T00:00:00.000Z,createdBy.fyzkx@example.com,2005-01-08T00:00:00.000Z,modifiedBy.fyzkx@example.com
26826658-4a28-410b-90a6-6a4705562601,role-26826658,78,2020-07-30,2006-06-18,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2019-03-05T00:00:00.000Z,createdBy.fyzky@example.net,2016-08-29T00:00:00.000Z,modifiedBy.fyzky@example.net
26826659-b238-4af4-a773-3121ead27767,role-26826659,77,2021-06-25,2020-06-20,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2005-05-29T00:00:00.000Z,createdBy.fyzkz@example.com,2020-04-17T00:00:00.000Z,modifiedBy.fyzkz@example.org
26826660-1062-4283-bfbe-0b7567ac762b,role-26826660,85,2004-06-08,2022-03-20,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2009-01-01T00:00:00.000Z,createdBy.fyzl0@example.net,2012-11-20T00:00:00.000Z,modifiedBy.fyzl0@example.com
26826661-b1bc-46b6-878c-6eb80fe8cca0,role-26826661,79,2004-06-02,2008-07-11,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2009-07-03T00:00:00.000Z,createdBy.fyzl1@example.org,2021-06-24T00:00:00.000Z,modifiedBy.fyzl1@example.com
26826662-5ed4-4597-a608-8ecedcaa5f4b,role-26826662,46,2013-04-13,2011-04-12,19856823-f1c3-4da2-9d26-1925d9e8a15a,96761786-a073-4284-b38c-419d312f5025,2018-04-15T00:00:00.000Z,createdBy.fyzl2@example.org,2019-02-15T00:00:00.000Z,modifiedBy.fyzl2@example.net
