ID,projectName,description,startDate,endDate,budget,currency_code,status,manager_ID,createdAt,createdBy,modifiedAt,modifiedBy
96761786-a073-4284-b38c-419d312f5025,projectName-9676178,description-9676178,2022-07-15,2011-09-29,8600578142.19,634,Planning,19856823-f1c3-4da2-9d26-1925d9e8a15a,2019-10-21T00:00:00.000Z,createdBy.5re6q@example.org,2008-05-07T00:00:00.000Z,modifiedBy.5re6q@example.net
66462937-edf9-4db6-baf6-394576c4e928,projectName-6646293,description-6646293,2013-12-31,2012-11-28,9865267885.16,634,Completed,19856823-f1c3-4da2-9d26-1925d9e8a15a,2003-11-11T00:00:00.000Z,createdBy.3ygb9@example.net,2017-04-07T00:00:00.000Z,modifiedBy.3ygb9@example.com
66462948-f0ec-4dd7-9878-dca3dbfa7bc9,projectName-6646294,description-6646294,2013-06-07,2023-09-05,2310351801.73,634,Planning,19856823-f1c3-4da2-9d26-1925d9e8a15a,2005-01-08T00:00:00.000Z,createdBy.3ygba@example.org,2019-12-02T00:00:00.000Z,modifiedBy.3ygba@example.com
66462951-6b2b-4299-961f-a8d04db4575e,projectName-6646295,description-6646295,2002-10-20,2014-09-16,1323349584.99,634,On Hold,19856823-f1c3-4da2-9d26-1925d9e8a15a,2006-02-12T00:00:00.000Z,createdBy.3ygbb@example.org,2009-01-17T00:00:00.000Z,modifiedBy.3ygbb@example.org
66462964-d9b7-41e4-9627-1a6fa2cd4342,projectName-6646296,description-6646296,2007-04-24,2019-06-01,1271720616.83,634,Planning,19856823-f1c3-4da2-9d26-1925d9e8a15a,2011-05-09T00:00:00.000Z,createdBy.3ygbc@example.org,2020-02-26T00:00:00.000Z,modifiedBy.3ygbc@example.net
6646297a-4a86-442b-9f13-c21088b2c1e5,projectName-6646297,description-6646297,2011-08-04,2000-03-24,2479508787.61,634,Cancelled,19856823-f1c3-4da2-9d26-1925d9e8a15a,2012-10-15T00:00:00.000Z,createdBy.3ygbd@example.com,2023-07-21T00:00:00.000Z,modifiedBy.3ygbd@example.net
6646298f-e199-44ca-9f19-2f6962188ff3,projectName-6646298,description-6646298,2012-12-14,2012-03-24,4721497066.14,634,Active,19856823-f1c3-4da2-9d26-1925d9e8a15a,2014-04-06T00:00:00.000Z,createdBy.3ygbe@example.org,2001-02-08T00:00:00.000Z,modifiedBy.3ygbe@example.net
66462998-622f-4553-b600-a488ce26e8bc,projectName-6646299,description-6646299,2000-02-17,2001-08-11,7849854598.87,634,On Hold,19856823-f1c3-4da2-9d26-1925d9e8a15a,2014-01-21T00:00:00.000Z,createdBy.3ygbf@example.com,2003-10-07T00:00:00.000Z,modifiedBy.3ygbf@example.com
6646300e-70ac-4738-8765-5d0fb9236e2c,projectName-6646300,description-6646300,2013-04-12,2002-11-27,9317277435.28,634,Completed,19856823-f1c3-4da2-9d26-1925d9e8a15a,2019-06-16T00:00:00.000Z,createdBy.3ygbg@example.net,2009-10-07T00:00:00.000Z,modifiedBy.3ygbg@example.net
6646301a-a30c-415e-a60c-ccc699d3aeac,projectName-6646301,description-6646301,2000-05-28,2003-07-11,443694294.85,634,Cancelled,19856823-f1c3-4da2-9d26-1925d9e8a15a,2016-07-20T00:00:00.000Z,createdBy.3ygbh@example.com,2011-03-06T00:00:00.000Z,modifiedBy.3ygbh@example.org
